playerID,awardID,yearID,lgID,tie,notes,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
chambch01,"Gold Glove",1978,AL,NULL,1B,chambch01,1971,1,CLE,AL,111,111,415,49,114,20,4,9,48,2,0,40,83,1,2,2,0,9,111
chandsp01,MVP,1943,AL,NULL,,chandsp01,1937,1,NYA,AL,12,12,30,2,4,0,0,0,6,0,1,1,7,NULL,0,5,NULL,NULL,12
chaveer01,"Gold Glove",2001,AL,NULL,3B,chaveer01,1998,1,OAK,AL,16,16,45,6,14,4,1,0,6,1,1,3,5,1,0,0,0,1,16
clarkwi02,"Gold Glove",1991,NL,NULL,1B,clarkwi02,1986,1,SFN,NL,111,111,408,66,117,27,2,11,41,4,7,34,76,10,3,9,4,3,111
clemero01,"Gold Glove",1961,NL,NULL,OF,clemero01,1955,1,PIT,NL,124,124,474,48,121,23,11,5,47,2,5,18,60,3,2,4,3,14,124
clemero02,MVP,1986,AL,NULL,,clemero02,1984,1,BOS,AL,21,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
cobbty01,MVP,1911,AL,NULL,,cobbty01,1905,1,DET,AL,41,41,150,19,36,6,0,1,15,2,NULL,10,NULL,NULL,0,4,NULL,NULL,41
cochrmi01,MVP,1928,AL,NULL,,cochrmi01,1925,1,PHA,AL,134,134,420,69,139,21,5,6,55,7,4,44,19,NULL,2,8,NULL,NULL,134
collied01,MVP,1914,AL,NULL,,collied01,1906,1,PHA,AL,6,6,15,2,3,0,0,0,0,0,NULL,0,NULL,NULL,0,3,NULL,NULL,6
conceda01,"Gold Glove",1974,NL,NULL,SS,conceda01,1970,1,CIN,NL,101,101,265,38,69,6,3,1,19,10,2,23,45,5,3,3,2,10,101
coopece01,"Gold Glove",1979,AL,NULL,1B,coopece01,1971,1,BOS,AL,14,14,42,9,13,4,1,0,3,1,0,5,4,1,1,0,1,0,14
coopemo01,MVP,1942,NL,NULL,,coopemo01,1938,1,SLN,NL,4,4,9,0,2,1,0,0,0,0,NULL,0,3,NULL,0,1,NULL,0,4
cowenal01,"Gold Glove",1977,AL,NULL,OF,cowenal01,1974,1,KCA,AL,110,110,269,28,65,7,1,1,25,5,0,23,38,0,1,2,1,10,110
crandde01,"Gold Glove",1958,NL,NULL,C,crandde01,1949,1,BSN,NL,67,67,228,21,60,10,1,4,34,2,NULL,9,18,NULL,0,2,NULL,8,67
cruzjo02,"Gold Glove",2003,NL,NULL,OF,cruzjo02,1997,1,SEA,AL,49,49,183,28,49,12,1,12,34,1,0,13,45,0,0,1,1,3,49
darliro01,"Gold Glove",1989,NL,NULL,P,darliro01,1983,1,NYN,NL,5,5,10,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,5
daubeja01,MVP,1913,NL,NULL,,daubeja01,1910,1,BRO,NL,144,144,552,67,146,15,15,8,50,23,NULL,47,53,NULL,5,31,NULL,NULL,144
davalvi01,"Gold Glove",1964,AL,NULL,OF,davalvi01,1963,1,CLE,AL,90,90,370,44,108,18,5,7,36,3,3,16,41,0,1,5,2,4,90
davenji01,"Gold Glove",1962,NL,NULL,3B,davenji01,1958,1,SFN,NL,134,134,434,70,111,22,3,12,41,1,3,33,64,0,7,17,2,4,134
daviser01,"Gold Glove",1987,NL,NULL,OF,daviser01,1984,1,CIN,NL,57,57,174,33,39,10,1,10,30,10,2,24,48,0,1,0,1,1,57
davisjo02,"Gold Glove",1986,NL,NULL,C,davisjo02,1981,1,CHN,NL,56,56,180,14,46,5,1,4,21,0,1,21,28,3,1,3,2,6,56
daviswi02,"Gold Glove",1971,NL,NULL,OF,daviswi02,1960,1,LAN,NL,22,22,88,12,28,6,1,2,10,3,5,4,12,2,0,2,0,1,22
dawsoan01,"Gold Glove",1980,NL,NULL,OF,dawsoan01,1976,1,MON,NL,24,24,85,9,20,4,1,0,7,1,2,5,13,1,0,2,0,0,24
deandi01,MVP,1934,NL,NULL,,deandi01,1930,1,SLN,NL,1,1,3,1,1,0,0,0,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1
dernibo01,"Gold Glove",1984,NL,NULL,OF,dernibo01,1980,1,PHI,NL,10,10,7,5,4,0,0,0,1,3,0,1,0,0,0,0,0,0,10
dimagjo01,MVP,1939,AL,NULL,,dimagjo01,1936,1,NYA,AL,138,138,637,132,206,44,15,29,125,4,0,24,39,NULL,4,3,NULL,NULL,138
doylela01,MVP,1912,NL,NULL,,doylela01,1907,1,NY1,NL,69,69,227,16,59,3,0,0,16,3,NULL,20,NULL,NULL,0,4,NULL,NULL,69
dyeje01,"Gold Glove",2000,AL,NULL,OF,dyeje01,1996,1,ATL,NL,98,98,292,32,82,16,0,12,37,1,4,8,67,0,3,0,3,11,98
eckerde01,MVP,1992,AL,NULL,,eckerde01,1975,1,CLE,AL,34,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34
edmonji01,"Gold Glove",1997,AL,NULL,OF,edmonji01,1993,1,CAL,AL,18,18,61,5,15,4,1,0,4,0,2,2,16,1,0,0,0,1,18
edwarjo01,"Gold Glove",1963,NL,NULL,C,edwarjo01,1961,1,CIN,NL,52,52,145,14,27,5,0,2,14,1,0,18,28,4,1,0,1,3,52
elliobo01,MVP,1947,NL,NULL,,elliobo01,1939,1,PIT,NL,32,32,129,18,43,10,3,3,19,0,NULL,9,4,NULL,0,2,NULL,4,32
erstada01,"Gold Glove",2000,AL,NULL,OF,erstada01,1996,1,CAL,AL,57,57,208,34,59,5,1,4,20,3,3,17,29,1,0,1,3,3,57
evansdw01,"Gold Glove",1976,AL,NULL,OF,evansdw01,1972,1,BOS,AL,18,18,57,2,15,3,1,1,6,0,0,7,13,0,0,0,0,2,18
eversjo01,MVP,1914,NL,NULL,,eversjo01,1902,1,CHN,NL,26,26,90,7,20,0,0,0,2,1,NULL,3,NULL,NULL,2,3,NULL,NULL,26
fernato01,"Gold Glove",1986,AL,NULL,SS,fernato01,1983,1,TOR,AL,15,15,34,5,9,1,1,0,2,0,1,2,2,0,1,1,0,1,15
fingero01,MVP,1981,AL,NULL,,fingero01,1968,1,OAK,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
finlest01,"Gold Glove",1995,NL,NULL,OF,finlest01,1989,1,BAL,AL,81,81,217,35,54,5,2,2,25,17,3,15,30,1,1,6,2,3,81
fiskca01,"Gold Glove",1972,AL,NULL,C,fiskca01,1969,1,BOS,AL,2,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
floodcu01,"Gold Glove",1963,NL,NULL,OF,floodcu01,1956,1,CIN,NL,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
flynndo01,"Gold Glove",1980,NL,NULL,2B,flynndo01,1975,1,CIN,NL,90,89,127,17,34,7,0,1,20,3,0,11,13,2,0,4,1,5,89
fossera01,"Gold Glove",1970,AL,NULL,C,fossera01,1967,1,CLE,AL,7,7,16,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,7
fostege01,MVP,1977,NL,NULL,,fostege01,1969,1,SFN,NL,9,9,5,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,9
foxne01,"Gold Glove",1957,ML,NULL,2B,foxne01,1947,1,PHA,AL,7,7,3,2,0,0,0,0,0,0,0,1,0,NULL,0,0,NULL,0,7
foxxji01,MVP,1932,AL,NULL,,foxxji01,1925,1,PHA,AL,10,10,9,2,6,1,0,0,0,0,0,0,1,NULL,0,0,NULL,NULL,10
francje02,"Gold Glove",2007,NL,NULL,OF,francje02,2006,1,ATL,NL,162,162,651,83,169,24,6,29,103,1,6,23,132,6,9,0,3,16,162
freehbi01,"Gold Glove",1965,AL,NULL,C,freehbi01,1961,1,DET,AL,4,4,10,1,4,0,0,0,4,0,0,1,0,0,0,0,0,0,4
fregoji01,"Gold Glove",1967,AL,NULL,SS,fregoji01,1961,1,LAA,AL,11,11,27,7,6,0,0,0,3,0,0,1,4,0,0,1,0,2,11
friscfr01,MVP,1931,NL,NULL,,friscfr01,1919,1,NY1,NL,54,54,190,21,43,3,2,2,24,15,NULL,4,14,NULL,0,3,NULL,NULL,54
frymatr01,"Gold Glove",2000,AL,NULL,3B,frymatr01,1990,1,DET,AL,66,66,232,32,69,11,1,9,27,3,3,17,51,0,1,1,0,3,66
gaettga01,"Gold Glove",1986,AL,NULL,3B,gaettga01,1981,1,MIN,AL,9,9,26,4,5,0,0,2,3,0,0,0,6,0,0,0,0,1,9
galaran01,"Gold Glove",1989,NL,NULL,1B,galaran01,1985,1,MON,NL,24,24,75,9,14,1,0,2,4,1,2,3,18,0,1,0,0,0,24
garvest01,"Gold Glove",1974,NL,NULL,1B,garvest01,1969,1,LAN,NL,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
gehrich01,MVP,1937,AL,NULL,,gehrich01,1924,1,DET,AL,5,5,13,2,6,0,0,0,1,1,1,0,2,NULL,0,0,NULL,NULL,5
gehrilo01,MVP,1927,AL,NULL,,gehrilo01,1923,1,NYA,AL,13,13,26,6,11,4,1,1,9,0,0,2,5,NULL,0,1,NULL,NULL,13
geronce01,"Gold Glove",1974,NL,NULL,OF,geronce01,1969,1,HOU,NL,28,28,8,8,2,1,0,0,0,0,0,0,3,0,0,0,0,0,28
giambja01,MVP,2000,AL,NULL,,giambja01,1995,1,OAK,AL,54,54,176,27,45,7,0,6,25,2,1,28,31,0,3,1,2,4,54
gibsobo01,"Gold Glove",1965,NL,NULL,P,gibsobo01,1959,1,SLN,NL,21,21,26,1,3,2,0,0,1,0,0,0,10,0,0,1,0,0,21
gibsoki01,MVP,1988,NL,NULL,,gibsoki01,1979,1,DET,AL,12,12,38,3,9,3,0,1,4,3,3,1,3,0,0,0,0,0,12
gonzaad01,"Gold Glove",2008,NL,NULL,1B,gonzaad01,2004,1,TEX,AL,16,16,42,7,10,3,0,1,7,0,0,2,6,0,0,0,0,0,16
gonzaju03,MVP,1996,AL,NULL,,gonzaju03,1989,1,TEX,AL,24,24,60,6,9,3,0,1,7,0,0,6,17,0,0,2,0,4,24
gordojo01,MVP,1942,AL,NULL,,gordojo01,1938,1,NYA,AL,127,127,458,83,117,24,7,25,97,11,3,56,72,NULL,3,3,NULL,NULL,127
gracema01,"Gold Glove",1992,NL,NULL,1B,gracema01,1988,1,CHN,NL,134,134,486,65,144,23,4,7,57,3,3,60,43,5,0,0,4,12,134
greenha01,MVP,1935,AL,NULL,,greenha01,1930,1,DET,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,NULL,1
greensh01,"Gold Glove",1999,AL,NULL,OF,greensh01,1993,1,TOR,AL,3,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
grichbo01,"Gold Glove",1973,AL,NULL,2B,grichbo01,1970,1,BAL,AL,30,30,95,11,20,1,3,0,8,1,1,9,21,0,0,0,0,2,30
griffal01,"Gold Glove",1985,AL,NULL,SS,griffal01,1976,1,CLE,AL,12,12,4,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,12
griffdo01,"Gold Glove",1972,AL,NULL,2B,griffdo01,1970,1,CAL,AL,18,18,55,2,7,1,0,0,4,0,0,6,5,1,0,1,0,3,18
griffke02,"Gold Glove",1990,AL,NULL,OF,griffke02,1989,1,SEA,AL,127,127,455,61,120,23,0,16,61,16,7,44,83,8,2,1,4,4,127
grissma02,"Gold Glove",1993,NL,NULL,OF,grissma02,1989,1,MON,NL,26,26,74,16,19,2,0,1,2,1,0,12,21,0,0,1,0,1,26
groatdi01,MVP,1960,NL,NULL,,groatdi01,1952,1,PIT,NL,95,95,384,38,109,6,1,1,29,2,4,19,27,NULL,1,11,NULL,18,95
grovele01,MVP,1931,AL,NULL,,grovele01,1925,1,PHA,AL,45,45,65,3,8,0,0,0,3,0,0,1,26,NULL,0,2,NULL,NULL,45
grubeke01,"Gold Glove",1990,AL,NULL,3B,grubeke01,1984,1,TOR,AL,15,15,16,1,1,0,0,1,2,0,0,0,5,0,0,0,0,1,15
grudzma01,"Gold Glove",2006,AL,NULL,2B,grudzma01,1995,1,MON,NL,78,78,269,27,66,12,2,1,20,8,3,14,47,4,7,3,0,7,78
guerrvl01,MVP,2004,AL,NULL,,guerrvl01,1996,1,MON,NL,9,9,27,2,5,0,0,1,1,0,0,0,3,0,0,0,0,1,9
guidrro01,"Gold Glove",1982,AL,NULL,P,guidrro01,1975,1,NYA,AL,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
guilloz01,"Gold Glove",1990,AL,NULL,SS,guilloz01,1985,1,CHA,AL,150,150,491,71,134,21,9,1,33,7,4,12,36,1,1,8,1,5,150
