,PLAYER,POSITION,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,AST,APG,TO,TOPG,AP48M,AST/TO
220,Thabo Sefolosha,SG,ATL,4,19.8,,,,,,,,8,2.0,4,1.0,4.9,2.00
221,Nemanja Bjelica,PF,MIN,4,25.8,,,,,,,,8,2.0,5,1.3,3.7,1.60
222,Nate Robinson,PG,NO,2,11.5,,,,,,,,4,2.0,0,0.0,8.3,0.00
223,Tyler Johnson,SG,MIA,4,17.3,,,,,,,,7,1.8,2,0.5,4.9,3.50
224,Jason Terry,SG,HOU,3,8.3,,,,,,,,5,1.7,0,0.0,9.6,0.00
225,Danny Green,SG,SA,5,28.2,,,,,,,,8,1.6,9,1.8,2.7,0.89
226,Raul Neto,PG,UTAH,5,19.0,,,,,,,,8,1.6,5,1.0,4.0,1.60
227,Stanley Johnson,SF,DET,4,17.0,,,,,,,,6,1.5,3,0.8,4.2,2.00
228,Jordan Adams,SG,MEM,2,7.5,,,,,,,,3,1.5,2,1.0,9.6,1.50
229,Leandro Barbosa,SG,GS,5,16.0,,,,,,,,7,1.4,5,1.0,4.2,1.40
230,Markel Brown,SG,BKN,5,15.4,,,,,,,,7,1.4,4,0.8,4.4,1.75
231,Justise Winslow,SF,MIA,5,26.6,,,,,,,,7,1.4,7,1.4,2.5,1.00
232,Matt Barnes,SF,MEM,6,21.5,,,,,,,,8,1.3,4,0.7,3.0,2.00
233,Tony Allen,SG,MEM,6,21.5,,,,,,,,8,1.3,4,0.7,3.0,2.00
234,Jared Dudley,SG,WSH,3,20.0,,,,,,,,4,1.3,3,1.0,3.2,1.33
235,Chandler Parsons,SF,DAL,3,13.3,,,,,,,,4,1.3,2,0.7,4.8,2.00
236,John Jenkins,SG,DAL,3,14.3,,,,,,,,4,1.3,2,0.7,4.5,2.00
237,Seth Curry,SG,SAC,3,4.0,,,,,,,,4,1.3,0,0.0,16.0,0.00
238,Ryan Kelly,PF,LAL,4,18.0,,,,,,,,5,1.3,3,0.8,3.3,1.67
239,Josh Smith,SF,LAC,5,14.2,,,,,,,,6,1.2,11,2.2,4.1,0.55
240,Ronnie Price,PG,PHX,5,14.4,,,,,,,,6,1.2,4,0.8,4.0,1.50
241,Josh McRoberts,PF,MIA,5,12.0,,,,,,,,6,1.2,3,0.6,4.8,2.00
242,Darrell Arthur,PF,DEN,5,19.2,,,,,,,,6,1.2,2,0.4,3.0,3.00
243,Chase Budinger,SF,IND,5,14.4,,,,,,,,6,1.2,1,0.2,4.0,6.00
244,Joe Ingles,SF,UTAH,5,19.4,,,,,,,,6,1.2,0,0.0,3.0,0.00
245,Mike Scott,PF,ATL,6,11.5,,,,,,,,7,1.2,0,0.0,4.9,0.00
246,Lamar Patterson,SG,ATL,6,13.2,,,,,,,,7,1.2,3,0.5,4.3,2.33
247,Tony Snell,SF,CHI,6,23.8,,,,,,,,6,1.0,4,0.7,2.0,1.50
