lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,playerID,numMVP,numGoldGlove
4957,garvest01,,garvest01h,1948,12,22,USA,FL,Tampa,NULL,NULL,NULL,NULL,NULL,NULL,Steve,Garvey,NULL,"Steven Patrick",NULL,192,70.0,R,R,1969-09-01,1987-05-23,"Michigan State",garvest01,garvest01,garvs001,garvest01,garvest01,garvest01,1,4
10142,munsoth01,,munsoth01h,1947,6,7,USA,OH,Akron,1979,8,2,USA,OH,Canton,Thurman,Munson,NULL,"Thurman Lee","Tugboat,Squatty Body,The Wall",191,71.0,R,R,1969-08-08,1979-08-01,,munsoth01,munsoth01,munst101,munsoth01,munsoth01,munsoth01,1,3
7967,larkiba01,,,1964,4,28,USA,OH,Cincinnati,NULL,NULL,NULL,NULL,NULL,NULL,Barry,Larkin,NULL,"Barry Louis",NULL,190,72.0,R,R,1986-08-13,2004-10-03,,larkiba01,larkiba01,larkb001,larkiba01,larkiba01,larkiba01,1,3
9247,mcgeewi01,,mcgeewi01h,1958,11,2,USA,CA,"San Francisco",NULL,NULL,NULL,NULL,NULL,NULL,Willie,McGee,NULL,"Willie Dean",NULL,175,73.0,B,R,1982-05-10,1999-10-03,"Diablo Valley",mcgeewi01,mcgeewi01,mcgew001,mcgeewi01,mcgeewi01,mcgeewi01,1,3
12177,rolliji01,,,1978,11,27,USA,CA,Oakland,NULL,NULL,NULL,NULL,NULL,NULL,Jimmy,Rollins,NULL,NULL,J-Roll,160,68.0,B,R,2000-09-17,NULL,,rolliji01,rolliji01,rollj001,rolliji01,rolliji01,rolliji01,1,3
10879,parkeda01,,parkeda01h,1951,6,9,USA,MS,Calhoun,NULL,NULL,NULL,NULL,NULL,NULL,Dave,Parker,NULL,"David Gene",Cobra,230,77.0,L,R,1973-07-12,1991-10-02,,parkeda01,parkeda01,parkd001,parkeda01,parkeda01,parkeda01,1,3
1,aaronha01,,aaronha01h,1934,2,5,USA,AL,Mobile,NULL,NULL,NULL,NULL,NULL,NULL,Hank,Aaron,NULL,"Henry Louis","Hammer,Hammerin' Hank,Bad Henry",180,72.0,R,R,1954-04-13,1976-10-03,,aaronha01,aaronha01,aaroh101,aaronha01,aaronha01,aaronha01,1,3
11048,pendlte01,,pendlte01h,1960,7,16,USA,CA,"Los Angeles",NULL,NULL,NULL,NULL,NULL,NULL,Terry,Pendleton,NULL,"Terry Lee",NULL,180,69.0,B,R,1984-07-18,1998-09-25,"Fresno State",pendlte01,pendlte01,pendt001,pendlte01,pendlte01,pendlte01,1,3
2035,caminke01,,caminke01h,1963,4,21,USA,CA,Hanford,2004,10,10,USA,NY,"New York",Ken,Caminiti,NULL,"Kenneth Gene",NULL,200,72.0,B,R,1987-07-16,2001-10-07,"San Jose State",caminke01,caminke01,camik001,caminke01,caminke01,caminke01,1,3
4653,foxne01,,foxne01h,1927,12,25,USA,PA,"St. Thomas",1975,12,1,USA,MD,Baltimore,Nellie,Fox,NULL,"Jacob Nelson",NULL,150,69.0,L,R,1947-06-08,1965-07-25,,foxne01,foxne01,fox-n101,foxne01,foxne01,foxne01,1,3
15305,willsma01,willsma01m,willsma01h,1932,10,2,USA,DC,Washington,NULL,NULL,NULL,NULL,NULL,NULL,Maury,Wills,NULL,"Maurice Morning",NULL,170,71.0,B,R,1959-06-06,1972-10-04,,willsma01,willsma01,willm102,willsma01,willsma01,willsma01,1,2
17123,mauerjo01,,,1983,4,19,USA,MN,"St. Paul",NULL,NULL,NULL,NULL,NULL,NULL,Joe,Mauer,NULL,"Joseph Patrick",NULL,220,77.0,L,R,2004-04-05,NULL,None,,,mauej001,,mauerjo01,mauerjo01,1,2
6602,howarel01,,howarel01h,1929,2,23,USA,MO,"St. Louis",1980,12,14,USA,NY,"New York",Elston,Howard,NULL,"Elston Gene",NULL,200,74.0,R,R,1955-04-14,1968-09-29,,howarel01,howarel01,howae101,howarel01,howarel01,howarel01,1,2
14611,versazo01,,,1939,12,18,Cuba,NULL,Veldado,1995,6,9,USA,MN,Bloomington,Zoilo,Versalles,NULL,"Zoilo Casanova (Rodriguez)",Zorro,150,70.0,R,R,1959-08-01,1971-09-28,,versazo01,versazo01,versz101,versazo01,versazo01,versazo01,1,2
12223,rosepe01,rosepe01m,rosepe01h,1941,4,14,USA,OH,Cincinnati,NULL,NULL,NULL,NULL,NULL,NULL,Pete,Rose,NULL,"Peter Edward (Sr.)","Charlie Hustle",200,71.0,B,R,1963-04-08,1986-08-17,,rosepe01,rosepe01,rosep001,rosepe01,rosepe01,rosepe01,1,2
465,bagweje01,,,1968,5,27,USA,MA,Boston,NULL,NULL,NULL,NULL,NULL,NULL,Jeff,Bagwell,NULL,"Jeffrey Robert",BagPipes,195,72.0,R,R,1991-04-08,2005-10-02,Hartford,bagweje01,bagweje01,bagwj001,bagweje01,bagweje01,bagweje01,1,1
6125,henderi01,,henderi01h,1958,12,25,USA,IL,Chicago,NULL,NULL,NULL,NULL,NULL,NULL,Rickey,Henderson,NULL,"Rickey Nelson Henley","Man of Steal",195,70.0,R,L,1979-06-24,2003-09-19,,henderi01,henderi01,hendr001,henderi01,henderi01,henderi01,1,1
1532,brettge01,,brettge01h,1953,5,15,USA,WV,"Glen Dale",NULL,NULL,NULL,NULL,NULL,NULL,George,Brett,NULL,"George Howard",Mullet,200,72.0,L,R,1973-08-02,1993-10-03,"El Camino JC",brettge01,brettge01,bretg001,brettge01,brettge01,brettge01,1,1
14286,torrejo01,torrejo01m,torrejo01h,1940,7,18,USA,NY,Brooklyn,NULL,NULL,NULL,NULL,NULL,NULL,Joe,Torre,NULL,"Joseph Paul",NULL,212,74.0,R,R,1960-09-25,1977-06-17,,torrejo01,torrejo01,torrj101,torrejo01,torrejo01,torrejo01,1,1
6946,jenseja01,,jenseja01h,1927,3,9,USA,CA,"San Francisco",1982,7,14,USA,VA,Charlottesville,Jackie,Jensen,NULL,"Jack Eugene",NULL,190,71.0,R,R,1950-04-18,1961-10-01,,jenseja01,jenseja01,jensj101,jenseja01,jenseja01,jenseja01,1,1
17856,pedrodu01,,,1983,8,17,USA,CA,Woodland,NULL,NULL,NULL,NULL,NULL,NULL,Dustin,Pedroia,NULL,"Dustin Luis",NULL,180,69.0,R,R,2006-08-22,NULL,"Arizona State",NULL,NULL,pedrd001,NULL,pedrodu01,pedrodu01,1,1
