playerID,yearID,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
rusieam01,1894,rusieam01,1901,1,CIN,NL,3,3,8,0,1,0,0,0,1,0,NULL,0,NULL,NULL,1,0,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
clarkjo01,1889,clarkjo01,1882,1,WOR,NL,3,3,11,0,4,2,0,0,2,NULL,NULL,0,3,NULL,NULL,NULL,NULL,NULL,3,1885,WS,clarkjo01,CHN,NL,4,13,1,2,1,0,0,0,0,NULL,0,0,0,NULL,NULL,NULL,NULL
clarkjo01,1889,clarkjo01,1882,1,WOR,NL,3,3,11,0,4,2,0,0,2,NULL,NULL,0,3,NULL,NULL,NULL,NULL,NULL,3,1886,WS,clarkjo01,CHN,NL,4,15,0,1,0,0,0,1,1,NULL,0,2,0,NULL,NULL,NULL,NULL
clarkjo01,1889,clarkjo01,1882,1,WOR,NL,3,3,11,0,4,2,0,0,2,NULL,NULL,0,3,NULL,NULL,NULL,NULL,NULL,3,1892,CS,clarkjo01,CL4,NL,2,8,1,2,0,0,1,3,0,NULL,0,1,0,NULL,NULL,NULL,NULL
carltst01,1972,carltst01,1988,1,MIN,AL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1977,NLCS,carltst01,PHI,NL,2,4,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0
carltst01,1972,carltst01,1988,1,MIN,AL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1983,NLCS,carltst01,PHI,NL,2,5,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0
carltst01,1972,carltst01,1988,1,MIN,AL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1976,NLCS,carltst01,PHI,NL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carltst01,1972,carltst01,1988,1,MIN,AL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1981,NEDIV,carltst01,PHI,NL,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
carltst01,1972,carltst01,1988,1,MIN,AL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1968,WS,carltst01,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carltst01,1972,carltst01,1988,1,MIN,AL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1980,NLCS,carltst01,PHI,NL,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
carltst01,1972,carltst01,1988,1,MIN,AL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1967,WS,carltst01,SLN,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
