playerID,awardID,yearID,lgID,tie,notes,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,COUNT(*)
benchjo01,"Gold Glove",1968,NL,NULL,C,912,benchjo01,,benchjo01h,1947,12,7,USA,OK,"Oklahoma City",NULL,NULL,NULL,NULL,NULL,NULL,Johnny,Bench,NULL,"Johnny Lee","Little General",208,73.0,R,R,1967-08-28,1983-09-29,,benchjo01,benchjo01,bencj101,benchjo01,benchjo01,10
benchjo01,MVP,1970,NL,NULL,,912,benchjo01,,benchjo01h,1947,12,7,USA,OK,"Oklahoma City",NULL,NULL,NULL,NULL,NULL,NULL,Johnny,Bench,NULL,"Johnny Lee","Little General",208,73.0,R,R,1967-08-28,1983-09-29,,benchjo01,benchjo01,bencj101,benchjo01,benchjo01,2
beniqju01,"Gold Glove",1977,AL,NULL,OF,921,beniqju01,,,1950,5,13,P.R.,NULL,"San Sebastian",NULL,NULL,NULL,NULL,NULL,NULL,Juan,Beniquez,NULL,"Juan Jose (Torres)",NULL,165,71.0,R,R,1971-09-04,1988-05-30,,beniqju01,beniqju01,benij001,beniqju01,beniqju01,1
berrayo01,MVP,1951,AL,NULL,,997,berrayo01,berrayo01m,berrayo01h,1925,5,12,USA,MO,"St. Louis",NULL,NULL,NULL,NULL,NULL,NULL,Yogi,Berra,NULL,"Lawrence Peter",NULL,194,68.0,L,R,1946-09-22,1965-05-09,,berrayo01,berrayo01,berry101,berrayo01,berrayo01,3
berryke01,"Gold Glove",1970,AL,NULL,OF,1008,berryke01,,,1941,5,10,USA,MO,"Kansas City",NULL,NULL,NULL,NULL,NULL,NULL,Ken,Berry,NULL,"Allen Kent",NULL,180,71.0,R,R,1962-09-09,1975-05-31,,berryke01,berryke01,berrk101,berryke01,berryke01,2
biggicr01,"Gold Glove",1994,NL,NULL,2B,1067,biggicr01,,,1965,12,14,USA,NY,Smithtown,NULL,NULL,NULL,NULL,NULL,NULL,Craig,Biggio,NULL,"Craig Alan",NULL,180,71.0,R,R,1988-06-26,2007-09-30,"Seton Hall",biggicr01,biggicr01,biggc001,biggicr01,biggicr01,4
blairpa01,"Gold Glove",1967,AL,NULL,OF,1140,blairpa01,,blairpa01h,1944,2,1,USA,OK,Cushing,NULL,NULL,NULL,NULL,NULL,NULL,Paul,Blair,NULL,"Paul L D",Motormouth,171,72.0,R,R,1964-09-09,1980-06-20,,blairpa01,blairpa01,blaip101,blairpa01,blairpa01,8
bluevi01,MVP,1971,AL,NULL,,1202,bluevi01,,bluevi01h,1949,7,28,USA,LA,Mansfield,NULL,NULL,NULL,NULL,NULL,NULL,Vida,Blue,NULL,"Vida Rochelle (Jr.)",NULL,189,72.0,B,L,1969-07-20,1986-10-02,Southern,bluevi01,bluevi01,bluev001,bluevi01,bluevi01,1
boddimi01,"Gold Glove",1990,AL,NULL,P,1224,boddimi01,,,1957,8,23,USA,IA,"Cedar Rapids",NULL,NULL,NULL,NULL,NULL,NULL,Mike,Boddicker,NULL,"Michael James",NULL,172,71.0,R,R,1980-10-04,1993-06-13,Iowa,boddimi01,boddimi01,boddm001,boddimi01,boddimi01,1
boggswa01,"Gold Glove",1994,AL,NULL,3B,1238,boggswa01,,boggswa01h,1958,6,15,USA,NE,Omaha,NULL,NULL,NULL,NULL,NULL,NULL,Wade,Boggs,NULL,"Wade Anthony",NULL,197,74.0,L,R,1982-04-10,1999-08-27,"Hillsborough JC",boggswa01,boggswa01,boggw001,boggswa01,boggswa01,2
bollifr01,"Gold Glove",1958,AL,NULL,2B,1262,bollifr01,,,1931,11,16,USA,AL,Mobile,NULL,NULL,NULL,NULL,NULL,NULL,Frank,Bolling,NULL,"Frank Elmore",NULL,175,73.0,R,R,1954-04-13,1966-09-15,,bollifr01,bollifr01,bollf101,bollifr01,bollifr01,1
bondsba01,"Gold Glove",1990,NL,NULL,OF,1274,bondsba01,,,1964,7,24,USA,CA,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,Barry,Bonds,NULL,"Barry Lamar",NULL,228,73.0,L,L,1986-05-30,2007-09-26,"Arizona State",bondsba01,bondsba01,bondb001,bondsba01,bondsba01,8
bondsba01,MVP,1990,NL,NULL,,1274,bondsba01,,,1964,7,24,USA,CA,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,Barry,Bonds,NULL,"Barry Lamar",NULL,228,73.0,L,L,1986-05-30,2007-09-26,"Arizona State",bondsba01,bondsba01,bondb001,bondsba01,bondsba01,7
bondsbo01,"Gold Glove",1971,NL,NULL,OF,1275,bondsbo01,,bondsbo01h,1946,3,15,USA,CA,Riverside,2003,8,23,USA,CA,"San Carlos",Bobby,Bonds,NULL,"Bobby Lee",NULL,190,73.0,R,R,1968-06-25,1981-10-04,,bondsbo01,bondsbo01,bondb101,bondsbo01,bondsbo01,3
boonebo01,"Gold Glove",1978,NL,NULL,C,1300,boonebo01,boonebo01m,boonebo01h,1947,11,19,USA,CA,"San Diego",NULL,NULL,NULL,NULL,NULL,NULL,Bob,Boone,NULL,"Robert Raymond",NULL,202,74.0,R,R,1972-09-10,1990-09-27,Stanford,boonebo01,boonebo01,boonb001,boonebo01,boonebo01,7
boonebr01,"Gold Glove",1998,NL,NULL,2B,1301,boonebr01,,,1969,4,6,USA,CA,ElCajon,NULL,NULL,NULL,NULL,NULL,NULL,Bret,Boone,NULL,"Bret Robert",NULL,180,70.0,R,R,1992-08-19,2005-07-30,USC,boonebr01,boonebr01,boonb002,boonebr01,boonebr01,4
bottoji01,MVP,1928,NL,NULL,,1353,bottoji01,bottoji01m,bottoji01h,1900,4,23,USA,IL,Oglesby,1959,12,11,USA,MO,St.Louis,Jim,Bottomley,NULL,"James Leroy","Sunny Jim",180,72.0,L,L,1922-08-18,1937-09-16,,bottoji01,bottoji01,bottj101,bottoji01,bottoji01,1
boudrlo01,MVP,1948,AL,NULL,,1359,boudrlo01,boudrlo01m,boudrlo01h,1917,7,17,USA,IL,Harvey,2001,8,10,USA,IL,Frankfort,Lou,Boudreau,NULL,Louis,NULL,185,71.0,R,R,1938-09-09,1952-08-24,,boudrlo01,boudrlo01,boudl101,boudrlo01,boudrlo01,1
bournmi01,"Gold Glove",2009,NL,NULL,OF,17886,bournmi01,,,1982,12,27,USA,TX,Houston,NULL,NULL,NULL,NULL,NULL,NULL,Michael,Bourn,NULL,"Michael Ray",NULL,180,71.0,L,R,2006-07-30,NULL,Houston,NULL,NULL,bourm001,NULL,bournmi01,1
bowala01,"Gold Glove",1972,NL,NULL,SS,1368,bowala01,bowala01m,bowala01h,1945,12,6,USA,CA,Sacramento,NULL,NULL,NULL,NULL,NULL,NULL,Larry,Bowa,NULL,"Lawrence Robert",NULL,155,70.0,B,R,1970-04-07,1985-10-06,"Sacramento CC",bowala01,bowala01,bowal001,bowala01,bowala01,2
boyercl02,"Gold Glove",1969,NL,NULL,3B,1409,boyercl02,,boyercl02h,1937,2,9,USA,MO,Cassville,2007,6,4,USA,GA,Atlanta,Clete,Boyer,NULL,"Cletis Leroy",NULL,182,72.0,R,R,1955-06-05,1971-05-23,,boyercl02,boyercl02,boyec102,boyercl02,boyercl02,1
boyerke01,"Gold Glove",1958,NL,NULL,3B,1411,boyerke01,boyerke01m,boyerke01h,1931,5,20,USA,MO,Liberty,1982,9,7,USA,MO,St.Louis,Ken,Boyer,NULL,"Kenton Lloyd",NULL,200,74.0,R,R,1955-04-12,1969-08-09,,boyerke01,boyerke01,boyek101,boyerke01,boyerke01,5
boyerke01,MVP,1964,NL,NULL,,1411,boyerke01,boyerke01m,boyerke01h,1931,5,20,USA,MO,Liberty,1982,9,7,USA,MO,St.Louis,Ken,Boyer,NULL,"Kenton Lloyd",NULL,200,74.0,R,R,1955-04-12,1969-08-09,,boyerke01,boyerke01,boyek101,boyerke01,boyerke01,1
