id,type,parentid
1wk1pKYaPmoI8uRnggMN3-9wkDkl26j3EWYpzq4KGgcQ,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1ygSjuxSsU4xB76UqPXTgDYmTP1Zg1mvv9izRF3GWkYw,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6U1N1Ul9DaC1NMkE,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1mKc5HmE1zcLZagSLudXQ7VjKrNt5vCm5LryZSWl-5LA,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6UGNHQmFNU2JmX0E,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6VWhQbVRnOEh0c1U,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1p84GidozlLqIUyXTg4eNChi9TKbvHPOPowGlk4fEgIk,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6Ql9NNDdQZHlJcG8,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1xUBKJRPkfqU2kW4eFvQM8kZG5M2GPBt3YXFGiWjsiuA,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6UXV0UlhuXzVWUVU,file,0AFqO9IFXquq6Uk9PVA
13fuMcvFRXOxZP1hMxXayeObm2bDKHZs0e7P1TJgZaQs,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1SydbDD4F-PIXgcjD0BAUv8ru5qnL9rgfeNcZ0t17igc,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6akZ2bF9rcXRjSmM,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6alFWVWVHd2VXZFk,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1_Ju9OqAEZPt890D_3gV1mFEJG7jYkoYrxpWk2bWH8IE,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1A7xQaChsuAwFZqHgupaDNYrxg2FAe5a93_E6qMXAYlk,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6Y254TGdDNjMyMnc,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B5zBykZbo0q8fkg4R1JLWUJVVnNZaXJ6cEZWZm5Mdm9YRWRqNmdZTVJyZXVrVm9SS3dHaXc,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
1RkAm-S6no8rYHLOwS79ziSSN96CiQCnIVDZpSqaAFOA,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6OGp6MTZnUE1uM28,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1to9fE78vE6DVd_u1uOBEjFfzsEf_PZC3bccu7oP7Fjk,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6bUJVVU96OVJ4Smc,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1sZ2LnGoDtCJr8eTqg0PCqaAVhz44sXOQewn--ic4zj0,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6VnVYV1FEZjJvdVU,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1sBSQwd0KHdZ2t73FF2BDkaS4MvM-wL2c_x5HZvTCEEE,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6Qm13dHNwMTNNZE0,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1U5OMN2Ta2ZbdbUtCP1p_JvsaiYpWM0FiTPIg2SiAtrc,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6VTRWOFN5WndhOFU,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1FyY7tS9p6Qf_27eChA-flGz0h1eLwVRLmv6mQTjyvcM,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6dkVMSmNSc2dNc2c,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1IkEQSst9g_aOyz6ejsPZe1wt4MK4BE5351EU7GFaDjo,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6dmR5S2Y3YmhjaHM,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6MDRoVDZkSzY1dzg,file,0AFqO9IFXquq6Uk9PVA
1MDn7gDhk17KnhVBnFrsn7_hpX9Y0kNSeYrdgsK0uYuM,spreadsheet,0AFqO9IFXquq6Uk9PVA
1lr7AwNeu42fwYkwy_5_BfiFRkjFC5_Cd3RaEbT0OFi8,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6Q1BiVDJsTWI0NnM,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6YWpTckpOaDlWT3c,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6ei1ZaElWN3lsUEE,file,0AFqO9IFXquq6Uk9PVA
17eJADLZpOD6ixKwq45bIJnkhWvkctIzSEkCvY9MvPx4,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6VG1WQ3BxeDBMdXM,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
1QR9KcbWciRvy8ftzpezezOcGfMiiw5UXit8oK5hSjuA,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6U2FLeG9FZlVEVTQ,file,0B1qO9IFXquq6Y3FuNkYtcm43NVU
121YVpBLbZdEkgO0S9Ml4P1aQC59LZIsHcMNzj7W2YP0,spreadsheet,0AFqO9IFXquq6Uk9PVA
1ThnpGfz6BFItfItL3-8vmGocghH374cMw0vadDozPF8,spreadsheet,0B1qO9IFXquq6Y3FuNkYtcm43NVU
0B1qO9IFXquq6Y3FuNkYtcm43NVU,folder,0AFqO9IFXquq6Uk9PVA
0B9fpFUHuMSE-fmp3ZVZKSklXVmJVWU11b1F5UmtSOHAtSVFhamVueGtaemVGcllDZ2NOcFk,folder,0B9fpFUHuMSE-NTZsRXFpOUJmaEk
0B9fpFUHuMSE-flRCYVh1SGZLNlltMDBiVE1IaXlrb3RuSU5jVXo5bTZrNVVBWUdDQ0JNUTg,folder,0B9fpFUHuMSE-NTZsRXFpOUJmaEk
0B9fpFUHuMSE-fmZNYi1QUDBla0xjbmNRcmgxdHktdVJxODdyNS1ESHNFMUdkdnJ5Mjg0UjQ,folder,0B9fpFUHuMSE-NTZsRXFpOUJmaEk
0B9fpFUHuMSE-VF80UW1mSmNmUDg,folder,0B9fpFUHuMSE-NTZsRXFpOUJmaEk
0B9fpFUHuMSE-NTZsRXFpOUJmaEk,folder,
1wNOICUG0mAvD92t-4EOODsH9HOeOhB3wDQAVqtqWHGQ,document,0AFqO9IFXquq6Uk9PVA
0B9fpFUHuMSE-fnUyRWpSal9QZmF3RWVhYzRrT280ZzJyU19KbGRmRWFjcUxVZUdhTVF2M28,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B9T-02UDpVUDQnF2cE5oUGFBSE0,folder,
0B9T-02UDpVUDeGRqcldUcGVBQUE,folder,0B9T-02UDpVUDQnF2cE5oUGFBSE0
0B9T-02UDpVUDMlRFdjBCeEdhb2s,folder,0B9T-02UDpVUDQnF2cE5oUGFBSE0
0B8Uss_QesB0RfmgxcFBoODFyYXJtVm5MSWJpcWg5ZTU1NXRIVnYtYWEwQXB3dWlHaDZYcWc,folder,0B8Uss_QesB0Rfll4aWxITlY2bUlQX25WOGlReUZGMGhzRUFJTmFYNlhkOU92bEtDSjNKN2s
0B8Uss_QesB0RfktkWWVVZWd0VXVJTElQZnBraF9LSGtVWDRZalpCTVZmV21MdDh1WUJBYXc,folder,0B8Uss_QesB0Rfll4aWxITlY2bUlQX25WOGlReUZGMGhzRUFJTmFYNlhkOU92bEtDSjNKN2s
0B8Uss_QesB0Rfll4aWxITlY2bUlQX25WOGlReUZGMGhzRUFJTmFYNlhkOU92bEtDSjNKN2s,folder,0B8Uss_QesB0RfjZldGlseHRBV1lRakJjUmFCeTVRTHE3ejFsS0NWTHZsa292NW5fRWdOTms
0B8Uss_QesB0RfjZldGlseHRBV1lRakJjUmFCeTVRTHE3ejFsS0NWTHZsa292NW5fRWdOTms,folder,
1SQn7LrCPT42TG_RYTxnGHF7MvHkarKqXbRW7wd92E_w,document,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6fmY3aUFZVGlvd1VoNTBHbG9yOURid1RRNzBPYjNMa0FEZWFzeHdVdlBPbU0,folder,0B1qO9IFXquq6flB1REhxT3F3QlNCVmNSWTdub3dNMzF3LUxvVlN5MTBHaloySnNtRUt5dWc
0B1qO9IFXquq6flB1REhxT3F3QlNCVmNSWTdub3dNMzF3LUxvVlN5MTBHaloySnNtRUt5dWc,folder,0AFqO9IFXquq6Uk9PVA
